config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL;0;4602;2927;0.6112365519989374;0.8740032761339839;2606;1554;0.6264423076923077;0.8743383747330172;1391;243;0.8512851897184822;0.9659454256962112;605;1130;0.34870317002881845;0.8943073595196654;137964;815110;0.14475686043266314;0.8010129383015565;68862;400042;0.14685735246447035;0.8530780556366969;50986;94682;0.3500151028365873;0.9425349872999567;18116;320386;0.053518147603263795;0.8790993654824769;180528;3414;0.9814398016766155;0.9956117275636488;249021;243526;0.5055781478721828;0.8840069818605337;0:53:21.931009
sim_mode:SimMode.EQUAL_filter_heuristics_cscore:True;0;1432;791;0.644174538911381;0.9391627066082864;0;0;1.0;1.0;1121;174;0.8656370656370657;0.9708862788576773;311;617;0.33512931034482757;0.9313370522920542;52006;234473;0.18153512124797977;0.9057568887867956;0;0;1.0;1.0;42617;60378;0.41377736783339;0.9585861317212337;9389;174095;0.05117067428222624;0.9217644964225841;87686;1634;0.9817062248096731;0.9978812360010986;114150;93659;0.5493024844929719;0.9479342780363;0:48:30.605252
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7;0;5148;3475;0.5970080018555027;0.8586995128694416;2702;1636;0.6228676809589673;0.866342752475749;1764;337;0.8396001903855307;0.9583812359368501;682;1502;0.31227106227106227;0.8626443074503772;153838;984308;0.13516543571738598;0.7695549016833608;70875;419553;0.14451662629376788;0.8420261548680841;62808;141960;0.306727613689639;0.9265804580808704;20155;422795;0.045501749633141436;0.8431685008409144;210416;10189;0.9538133768500261;0.9944742388142953;288386;294181;0.4950263231525301;0.8653485150148854;1:14:48.577449
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_filter_heuristics_cscore:True;0;3024;1481;0.6712541620421754;0.9056383774903155;1162;333;0.777257525083612;0.9616255723247249;1478;235;0.8628137769994162;0.9631715663495322;384;913;0.29606784888203547;0.9052993791013093;99325;430744;0.18738126545789321;0.8492657378123465;33121;78334;0.29716926113678166;0.95512083203763;54799;97427;0.3599844967351175;0.9436809282510349;11405;254983;0.042813490097151526;0.8917426545784836;148837;8781;0.9442893578144628;0.9960418245798107;194040;166787;0.5377646351298545;0.9149372400161048;1:13:19.764836
