config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL_filter_heuristics_cscore:True;0;935;634;0.5959209687699172;0.9452969584512456;246;26;0.9044117647058824;0.9958804143126178;478;84;0.8505338078291815;0.9800132835620124;211;524;0.2870748299319728;0.9435957622732218;32033;185869;0.14700645244192342;0.9238782789157016;9527;4400;0.6840669203705033;0.9954366493819222;16025;31893;0.3344254768562962;0.9764785666251702;6481;149576;0.04152969748233017;0.9377019038100503;67119;1496;0.9781971872039642;0.9980443865139483;85670;74539;0.5347389971849272;0.9585357801978139;0:47:21.350358
sim_mode:SimMode.SYNONYM_filter_heuristics_cscore:True;0;4056;3318;0.5500406834825061;0.8512714875892663;700;419;0.6255585344057194;0.9493840238543628;2415;618;0.7962413452027696;0.9311279499177352;941;2281;0.2920546244568591;0.8154770459541041;124928;1049479;0.10637538774888093;0.7490964725652304;19938;98803;0.16791167330576634;0.9430202436885962;75777;303603;0.199739047920291;0.874870989208617;29213;647073;0.04319622171684761;0.7901089314119347;219257;11297;0.9510006332572847;0.9933474013465641;296657;316360;0.48392948319540896;0.8561817066177342;7:21:06.746548
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_filter_heuristics_cscore:True;0;1490;1079;0.5799922148695991;0.9250104886678124;321;47;0.8722826086956522;0.9923493408662899;873;133;0.8677932405566601;0.9729843073593072;296;899;0.24769874476987447;0.9101675217872482;47134;323955;0.1270153521122965;0.88634343969812;10951;8428;0.5650962381959853;0.9915891950423131;27414;63142;0.3027298025531163;0.9640171033419075;8769;252385;0.03357788890846014;0.9006161007446386;101461;8264;0.9246844383686489;0.9967762384244776;129436;126605;0.5055284114653512;0.9369567669684752;1:18:08.846668
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_filter_heuristics_cscore:True;0;5623;4860;0.5363922541257273;0.8226298431228198;1095;899;0.549147442326981;0.8983103764104514;3377;1038;0.7648924122310305;0.9014226878065784;1151;2923;0.28252331860579283;0.7850503845913449;167824;1596073;0.09514387744862654;0.6959041375357297;29154;247515;0.10537501490951282;0.8860957770093026;103939;500235;0.17203487736976433;0.8172813133742131;34731;848323;0.039330550566556516;0.7524829695534887;271500;12359;0.9564607780623479;0.992579347900138;380051;411042;0.4804125431523222;0.8248677903976203;5:28:53.682014
