config,replication,tp,fp,micro prec,macro prec,tp (xor),fp (xor),micro prec (xor),macro prec (xor),tp (order),fp (order),micro prec (order),macro prec (order),tp (co-occ),fp (co-occ),micro prec (co-occ),macro prec (co-occ),tp (abs),fp (abs),micro prec (abs),macro prec (abs),tp (abs xor),fp (abs xor),micro prec (abs xor),macro prec (abs xor),tp (abs order),fp (abs order),micro prec (abs order),macro prec (abs order),tp (abs co-occ),fp (abs co-occ),micro prec (abs co-occ),macro prec (abs co-occ),tp (variant),fp (variant),micro prec (variant),macro prec (variant),tp (traces),fp (traces),micro prec (traces),macro prec (traces),runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL_filter_heuristics_rank:True,0,2928,1017,0.742205323193916,0.914889389716299,1580,540,0.745283018867924,0.94031442310044,1114,183,0.858905165767155,0.969133913598956,234,294,0.443181818181818,0.958090081607031,92965,272160,0.25461143444026,0.880231377851298,43409,130737,0.24926785570728,0.930466311283086,42601,63140,0.40288062341003,0.957544738727385,6955,78283,0.081595063234708,0.950220702320557,120416,1734,0.985804338927548,0.997298254052626,158603,115032,0.579615180806549,0.932590090661935,0:51:37.577435
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_filter_heuristics_rank:True,0,3380,1463,0.697914515795994,0.894904667613546,1658,622,0.72719298245614,0.932289424715272,1423,261,0.845011876484561,0.956121829271131,299,580,0.340159271899886,0.930879237288135,105569,407603,0.205718550505484,0.843644191384534,44773,148314,0.23187992977259,0.91936858897015,52003,99797,0.342575757575758,0.936749645742334,8793,159492,0.052250646225154,0.918988498393347,147537,2886,0.980814104226082,0.99636135179294,195030,162236,0.545895775136733,0.911150253238564,1:26:09.457502
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_filter_heuristics_rank:True,0,5438,4572,0.543256743256743,0.826080175620342,1159,1052,0.524197195838987,0.881693934400502,3214,1028,0.757661480433758,0.900235415393329,1065,2492,0.29940961484397,0.80392053154549,164038,1475781,0.10003421109281,0.706391642864419,30899,294358,0.094998724085877,0.868127148458401,101106,488960,0.171346934071782,0.81866630438432,32033,692463,0.044214184757404,0.772917639687341,254881,11898,0.955401287207764,0.992902052327143,353289,385554,0.47816518529647,0.830790131380513,6:16:01.947338
