config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.SYNONYM_filter_heuristics_cscore:True;0;4077;3334;0.5501281878289029;0.8510780752330237;720;435;0.6233766233766234;0.9478538920276206;2416;618;0.7963085036255768;0.9311279499177356;941;2281;0.2920546244568591;0.8154770459541046;125245;1053433;0.10625887647007919;0.7490543234569438;20250;102757;0.16462477745168974;0.940839266797975;75782;303603;0.19974959473885368;0.8748709892086171;29213;647073;0.04319622171684761;0.7901089314119346;219270;11297;0.951003395976007;0.9933478464114498;296670;316360;0.4839404270590346;0.8561875006013253;7:00:51.885388
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_filter_heuristics_cscore:True;0;1493;1080;0.5802565099106102;0.9249516374437073;321;47;0.8722826086956522;0.9923493408662901;876;134;0.8673267326732673;0.9731608610316238;296;899;0.24769874476987447;0.9101675217872481;47249;324138;0.12722308535301452;0.8860703152952721;10951;8428;0.5650962381959853;0.9915891950423131;27529;63325;0.30300261958747;0.9637755734671463;8769;252385;0.03357788890846014;0.9006161007446385;101544;8265;0.9247329453869901;0.9967727002229451;129531;126689;0.5055460151432363;0.9368071297174371;1:20:08.752916
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_filter_heuristics_cscore:True;0;5636;4878;0.5360471751949781;0.8213078493723474;1097;899;0.5495991983967936;0.8983103764104512;3388;1056;0.7623762376237624;0.8997236138523953;1151;2923;0.28252331860579283;0.785050384591345;168196;1607533;0.09471940819798516;0.6930813957792059;29173;247515;0.10543644827386804;0.8860957770093024;104292;511695;0.16930876787984162;0.813745728725158;34731;848323;0.039330550566556516;0.7524829695534885;272286;12375;0.9565272376616396;0.9925491949990631;382574;416088;0.4790186587066869;0.8230347041942823;5:27:25.338819
