config,replication,tp,fp,micro prec,macro prec,tp (xor),fp (xor),micro prec (xor),macro prec (xor),tp (order),fp (order),micro prec (order),macro prec (order),tp (co-occ),fp (co-occ),micro prec (co-occ),macro prec (co-occ),tp (abs),fp (abs),micro prec (abs),macro prec (abs),tp (abs xor),fp (abs xor),micro prec (abs xor),macro prec (abs xor),tp (abs order),fp (abs order),micro prec (abs order),macro prec (abs order),tp (abs co-occ),fp (abs co-occ),micro prec (abs co-occ),macro prec (abs co-occ),tp (variant),fp (variant),micro prec (variant),macro prec (variant),tp (traces),fp (traces),micro prec (traces),macro prec (traces),runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL_filter_heuristics_rank:True,0,2968,1306,0.69443144595227,0.907474091110206,1532,504,0.7524557956778,0.945218057797507,1117,172,0.866563227307991,0.970385151767567,319,630,0.336143308746048,0.929874064361905,94766,359864,0.208446428964213,0.865431959387959,42157,121612,0.257417459958844,0.935617848340858,42768,61098,0.411761307838946,0.958562135418485,9841,177154,0.052627075590257,0.920606240647158,133614,2288,0.983164339008992,0.996871878719836,175802,137756,0.560668201736202,0.924456623659816,0:51:11.297675
sim_mode:SimMode.SYNONYM_filter_heuristics_rank:True,0,5555,4002,0.581249346029089,0.834978448070066,1918,1009,0.655278442090878,0.903874342729584,2667,804,0.768366464995678,0.909033571238364,970,2189,0.307059195948085,0.817716637149485,170531,1243045,0.120638013095865,0.721168759776924,51109,247262,0.171293456803778,0.885012787068101,89160,374124,0.192452145983889,0.843636247492431,30262,621659,0.04641973490653,0.78920470226953,252632,11693,0.955762792017403,0.993067767132512,343517,354791,0.491927630787561,0.83855470447669,7:39:08.344037
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_filter_heuristics_rank:True,0,3443,1749,0.663135593220339,0.888127647595362,1623,563,0.742451967063129,0.940177561050811,1428,247,0.852537313432836,0.957739906736666,392,939,0.294515401953418,0.903394636598049,108600,490404,0.181300959592924,0.829609219882692,44341,135771,0.246185706671404,0.928997239286359,52599,93192,0.360783587464247,0.939753313846778,11660,261441,0.042694827188476,0.889581848503572,162168,3420,0.979346329444163,0.995982963117114,213483,185130,0.535564570146985,0.903159552302751,1:25:49.249261
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_filter_heuristics_rank:True,0,5626,4953,0.531808299461197,0.820768183355721,1089,887,0.551113360323887,0.900376054376552,3373,1032,0.76572077185017,0.902371473013838,1164,3034,0.277274892806098,0.779322261980277,167847,1615539,0.094117033553028,0.692123570791654,29025,242875,0.106748804707613,0.888180217371916,103685,497051,0.172596614819155,0.819149711546616,35137,875613,0.038580290968982,0.747070429726563,274447,12524,0.956357959515073,0.99243287802404,384380,417828,0.479152538992381,0.822434716873009,5:53:37.894974
