config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL_filter_heuristics_cscore:True;0;948;644;0.5954773869346733;0.944732349368441;246;26;0.9044117647058824;0.9958804143126176;481;90;0.8423817863397548;0.9789833871401669;221;528;0.29506008010680906;0.943286793346668;32418;188181;0.14695442862388317;0.9228779073255073;9527;4400;0.6840669203705033;0.9954366493819222;16047;33379;0.32466717921741595;0.9751092631951257;6844;150402;0.043524159597064474;0.9373788226001646;67799;1507;0.978255850864283;0.9980268913462059;86613;75396;0.534618447123308;0.9579807697875369;0:48:15.958397
sim_mode:SimMode.SYNONYM_filter_heuristics_cscore:True;0;4069;3328;0.5500878734622144;0.8509045095895073;700;419;0.6255585344057194;0.9493840238543627;2418;624;0.7948717948717948;0.9304285091596901;951;2285;0.2938813349814586;0.8153917116791514;125313;1051791;0.10645873261835828;0.7484862820750792;19938;98803;0.16791167330576634;0.9430202436885962;75799;305089;0.19900600701518556;0.8738199739308106;29576;647899;0.04365622347688106;0.7898277823975021;219642;11305;0.9510493749648188;0.993336721152042;297228;317049;0.48386639903496304;0.8558071822166714;7:21:05.280585
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_filter_heuristics_cscore:True;0;1503;1089;0.5798611111111112;0.9245298365150746;321;47;0.8722826086956522;0.9923493408662899;876;139;0.8630541871921182;0.9720956538753145;306;903;0.2531017369727047;0.9099026912787737;47519;326267;0.12712889193281718;0.8854106938721155;10951;8428;0.5650962381959853;0.9915891950423131;27436;64628;0.2980100799443865;0.9629874243833367;9132;253211;0.034809390759425636;0.9002968121945182;102072;8274;0.9250176716872384;0.9967610996709856;130307;127423;0.5055950025220192;0.9364285638208426;1:17:49.428803
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_filter_heuristics_cscore:True;0;5636;4869;0.5365064255116612;0.822206117525495;1095;899;0.549147442326981;0.8983103764104512;3380;1043;0.7641872032557088;0.9008068318972285;1161;2927;0.2840019569471624;0.7849881704401477;168209;1598272;0.09522264887083416;0.6950614706583335;29154;247515;0.10537501490951282;0.8860957770093023;103961;501608;0.17167490409845945;0.8164622891274201;35094;849149;0.039688185261291295;0.7522063802085501;271965;12369;0.9564983434974361;0.9925641611380295;380709;411860;0.48034808325836614;0.8243397614441014;5:23:31.490111
