config,replication,tp,fp,micro prec,macro prec,tp (xor),fp (xor),micro prec (xor),macro prec (xor),tp (order),fp (order),micro prec (order),macro prec (order),tp (co-occ),fp (co-occ),micro prec (co-occ),macro prec (co-occ),tp (abs),fp (abs),micro prec (abs),macro prec (abs),tp (abs xor),fp (abs xor),micro prec (abs xor),macro prec (abs xor),tp (abs order),fp (abs order),micro prec (abs order),macro prec (abs order),tp (abs co-occ),fp (abs co-occ),micro prec (abs co-occ),macro prec (abs co-occ),tp (variant),fp (variant),micro prec (variant),macro prec (variant),tp (traces),fp (traces),micro prec (traces),macro prec (traces),runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL_filter_heuristics_rank:True,0,931,646,0.590361445783132,0.944084266560587,232,30,0.885496183206107,0.995527306967985,478,84,0.850533807829181,0.980013283562012,221,532,0.293492695883134,0.942580578657402,32112,188344,0.145661719345357,0.922787721001404,9243,4982,0.649771528998243,0.994819846520352,16025,31893,0.334425476856296,0.97647856662517,6844,151469,0.043230814904651,0.9366726079109,67814,1506,0.978274668205424,0.998027855954229,86716,75528,0.534478932965164,0.957958551957391,0:47:14.857027
sim_mode:SimMode.SYNONYM_filter_heuristics_rank:True,0,4068,3356,0.547952586206897,0.849959090714591,708,431,0.621597892888499,0.948291072549548,2405,618,0.795567317234535,0.931127949917736,955,2307,0.292765174739424,0.813370172131129,125307,1058019,0.10589389568048,0.746916034688044,19892,102490,0.16254024284617,0.941456263078122,75694,303603,0.199563930112814,0.874870989208618,29721,651926,0.043601746945266,0.787713282558807,220657,11360,0.951038070486214,0.993361076263848,298508,318206,0.48402987446369,0.855178474684538,7:05:58.738398
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_filter_heuristics_rank:True,0,1476,1097,0.573649436455499,0.92400825933331,309,51,0.858333333333333,0.991996233521657,861,131,0.867943548387097,0.973325644459119,306,915,0.250614250614251,0.909019922917192,47114,327674,0.125708400482406,0.885563306188878,10675,9010,0.542291084582169,0.990972392180743,27307,62604,0.303711447987454,0.964682442280382,9132,256060,0.034435427916378,0.899261179640703,102191,8279,0.925056576446094,0.996761498952612,130548,127861,0.505199122321591,0.936583471934363,1:19:28.504167
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_filter_heuristics_rank:True,0,5626,4953,0.531808299461197,0.82076818335572,1089,887,0.551113360323887,0.900376054376553,3373,1032,0.76572077185017,0.902371473013838,1164,3034,0.277274892806098,0.779322261980278,167847,1615539,0.094117033553028,0.692123570791654,29025,242875,0.106748804707613,0.888180217371916,103685,497051,0.172596614819155,0.819149711546616,35137,875613,0.038580290968982,0.747070429726563,274447,12524,0.956357959515073,0.99243287802404,384380,417828,0.479152538992381,0.822434716873009,6:09:13.317740
