config,replication,tp,fp,micro prec,macro prec,tp (xor),fp (xor),micro prec (xor),macro prec (xor),tp (order),fp (order),micro prec (order),macro prec (order),tp (co-occ),fp (co-occ),micro prec (co-occ),macro prec (co-occ),tp (abs),fp (abs),micro prec (abs),macro prec (abs),tp (abs xor),fp (abs xor),micro prec (abs xor),macro prec (abs xor),tp (abs order),fp (abs order),micro prec (abs order),macro prec (abs order),tp (abs co-occ),fp (abs co-occ),micro prec (abs co-occ),macro prec (abs co-occ),tp (variant),fp (variant),micro prec (variant),macro prec (variant),tp (traces),fp (traces),micro prec (traces),macro prec (traces),runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL_filter_heuristics_rank:True,0,854,338,0.716442953020134,0.956588464599588,237,50,0.825783972125435,0.991819679849341,479,86,0.847787610619469,0.979836729889696,138,202,0.405882352941177,0.971969161958569,29351,97752,0.230922952251324,0.943650750189987,9180,10993,0.455063699003619,0.99123083980806,16029,32163,0.332607071713147,0.976135620642973,4142,54596,0.070516531036127,0.968436375338785,47673,743,0.98465383344349,0.998642545512258,62125,45764,0.575823299873018,0.969443547061767,0:43:21.904623
sim_mode:SimMode.EQUAL_kb_heuristics:True_filter_heuristics_rank:True,0,854,338,0.716442953020134,0.956588464599588,237,50,0.825783972125435,0.991819679849341,479,86,0.847787610619469,0.979836729889696,138,202,0.405882352941177,0.971969161958569,29351,97752,0.230922952251324,0.943650750189987,9180,10993,0.455063699003619,0.99123083980806,16029,32163,0.332607071713147,0.976135620642973,4142,54596,0.070516531036127,0.968436375338784,47673,743,0.98465383344349,0.998642545512258,62125,45764,0.575823299873018,0.969443547061768,0:44:55.198751
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_filter_heuristics_rank:True,0,1411,809,0.635585585585585,0.936010795009251,322,104,0.755868544600939,0.983815913370998,871,139,0.862376237623762,0.973118307069578,218,566,0.278061224489796,0.938043953457089,44637,243932,0.154683975063156,0.905992682731767,10767,22964,0.319201921081498,0.982556871743632,27523,65151,0.296987288775708,0.96296821752482,6347,155817,0.039139389753583,0.930752266047995,82586,7546,0.91627834731283,0.997345187719244,106342,98316,0.519608322176509,0.947773964639654,1:19:32.855055
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_kb_heuristics:True_filter_heuristics_rank:True,0,1411,809,0.635585585585585,0.936010795009251,322,104,0.755868544600939,0.983815913370998,871,139,0.862376237623762,0.973118307069578,218,566,0.278061224489796,0.938043953457089,44637,243932,0.154683975063156,0.905992682731766,10767,22964,0.319201921081498,0.982556871743632,27523,65151,0.296987288775708,0.96296821752482,6347,155817,0.039139389753583,0.930752266047995,82586,7546,0.91627834731283,0.997345187719244,106342,98316,0.519608322176509,0.947773964639653,1:16:50.487232
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_filter_heuristics_rank:True,0,5438,4572,0.543256743256743,0.826080175620342,1159,1052,0.524197195838987,0.881693934400502,3214,1028,0.757661480433758,0.90023541539333,1065,2492,0.29940961484397,0.80392053154549,164038,1475781,0.10003421109281,0.706391642864419,30899,294358,0.094998724085877,0.868127148458401,101106,488960,0.171346934071782,0.81866630438432,32033,692463,0.044214184757404,0.772917639687341,254881,11898,0.955401287207764,0.992902052327144,353289,385554,0.47816518529647,0.830790131380512,6:02:47.758723
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_kb_heuristics:True_filter_heuristics_rank:True,0,5438,4572,0.543256743256743,0.826080175620342,1159,1052,0.524197195838987,0.881693934400502,3214,1028,0.757661480433758,0.900235415393329,1065,2492,0.29940961484397,0.80392053154549,164038,1475781,0.10003421109281,0.706391642864419,30899,294358,0.094998724085877,0.868127148458401,101106,488960,0.171346934071782,0.81866630438432,32033,692463,0.044214184757404,0.772917639687341,254881,11898,0.955401287207764,0.992902052327143,353289,385554,0.47816518529647,0.830790131380512,6:02:28.132658
sim_mode:SimMode.SYNONYM_filter_heuristics_rank:True,0,3839,3098,0.553409254721061,0.854395695536045,755,575,0.567669172932331,0.933757331313982,2228,589,0.790912318068868,0.931873282294602,856,1934,0.306810035842294,0.831103547241195,119441,974509,0.109183235065588,0.76194178346439,20631,143748,0.125508732867337,0.925171346688007,72291,283792,0.203017274062508,0.88014827344804,26519,546969,0.046241595290573,0.806653911889466,205670,10855,0.949867220875188,0.993682767797216,279783,296294,0.485669450438049,0.863348793916211,7:02:47.678914
