config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL;0;4541;2897;0.6105135789190642;0.8734766481978378;2554;1514;0.627826941986234;0.8755961844314429;1377;250;0.8463429625076828;0.9653256429674053;610;1133;0.3499713138267355;0.8935485486310875;136971;806044;0.14524795469849366;0.8011038556892021;67508;390846;0.1472835406694389;0.8546997208387934;51246;95631;0.3489041851345003;0.9420903330650369;18217;319567;0.05393091443052365;0.8782801021211049;180765;3418;0.9814423698169755;0.9956206406353011;249343;242324;0.5071379612623992;0.8843401305128143;0:38:41.137855
sim_mode:SimMode.SYNONYM_kb_heuristics:True;0;4449;2101;0.6792366412213741;0.8839347389496305;1790;871;0.6726794438181135;0.9151443521457802;2159;439;0.8310238645111624;0.943842429443608;500;791;0.3872966692486445;0.9092543549905836;138668;621680;0.1823743864651449;0.8150591892508692;48869;213464;0.18628613251096887;0.8987721886825396;73685;193214;0.2760782168535663;0.905334801539743;16114;215002;0.06972256356115544;0.8922324218074135;179278;9908;0.9476282600192403;0.9950247080993136;237143;207737;0.5330493616256069;0.8932528322713277;0:38:34.888811
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_match_one:True_kb_heuristics:True;0;3133;1089;0.742065371861677;0.9155197670939215;1608;564;0.7403314917127072;0.938233837102855;1277;189;0.8710777626193724;0.9699430576681637;248;336;0.4246575342465753;0.9560577526679221;100531;305725;0.2474572683234217;0.8766906457810325;44197;141847;0.2375620820881082;0.9275744600033218;48778;77043;0.38767773265194205;0.954906973385035;7556;86835;0.08005000476740368;0.947490102440527;127970;7816;0.9424388375826669;0.9968888374491239;167653;125928;0.5710621600171674;0.9301552281104759;0:39:58.581624
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5;0;8017;6877;0.538270444474285;0.7952749659764308;3048;2517;0.5477088948787062;0.8038900133861199;3570;1167;0.7536415452818239;0.8988953866397119;1399;3193;0.3046602787456446;0.771226468198573;237363;2145192;0.09962540214181834;0.6529642702520897;78852;672535;0.10494192739560307;0.7713180726837177;116323;548818;0.17488472369016494;0.8053048176763117;42188;923839;0.043671657210409234;0.7345622729069713;308279;13124;0.9591665292483269;0.9917976990296227;438210;477496;0.4785487918611432;0.798023392433358;0:43:03.168175
