config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL;0;4562;2914;0.610219368646335;0.8712916851810183;2562;1537;0.6250304952427421;0.8725627810802425;1401;253;0.847037484885127;0.9650423058444682;599;1124;0.3476494486360998;0.8935166385488592;137612;812415;0.14485062003500954;0.7979519240128758;68350;396493;0.14703889270140671;0.8516644575345333;51495;97455;0.34572004028197384;0.9415749978970944;17767;318467;0.05284117608570222;0.8783226316204865;181796;3449;0.9813814138033415;0.9955555682368;250807;245372;0.5054768541191788;0.8824190691227071;1:01:08.849192
sim_mode:SimMode.EQUAL_kb_heuristics:Truelimit_bos:True;0;2624;865;0.7520779593006592;0.928416318697755;1568;577;0.731002331002331;0.9410055173561531;915;135;0.8714285714285714;0.9775637625478729;141;153;0.47959183673469385;0.9762241054613937;84627;220021;0.27778616632966574;0.9007596241346566;44091;138191;0.24188345530551564;0.9304099693951987;36411;45149;0.44643207454634626;0.9677761234950147;4125;36681;0.10108807528304661;0.9706172888673608;104316;1429;0.9864863586930824;0.9976553713439789;136438;91248;0.5992375464455434;0.9444119231518284;0:53:07.660776
sim_mode:SimMode.EQUAL_kb_heuristics:True;0;2671;809;0.7675287356321839;0.929776289992348;1545;494;0.7577243746934772;0.9478455709387912;946;133;0.8767377201112141;0.9766040672290671;180;182;0.4972375690607735;0.9721255380683347;86026;205188;0.2954047538923266;0.9016333610916512;42568;115537;0.2692387970019923;0.9379095796759256;38111;45241;0.4572295805739514;0.9670772753217625;5347;44410;0.10746226661575256;0.9655962689622614;104236;1395;0.9867936495915025;0.9977141422842372;136962;89354;0.605180367274077;0.9450145295051745;0:55:29.510508
