config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL;0;4594;2944;0.6094454762536482;0.8718351058271775;2588;1550;0.625422909618173;0.8729453753867394;1397;256;0.8451300665456746;0.9645962066259367;609;1138;0.34859759587864914;0.8922326632844815;137995;820246;0.14400865752978634;0.7987590772555319;68612;398726;0.14681451112471058;0.8516872275214653;51288;98063;0.3434058024385508;0.9412017556213508;18095;323457;0.052978755797067505;0.8766933841168533;181881;3450;0.9813846577205109;0.995566599328859;250690;244861;0.5058813320929632;0.8827560813259396;0:51:05.855717
sim_mode:SimMode.EQUAL_kb_heuristics:True;0;2651;801;0.7679606025492468;0.9290831413738201;1537;494;0.7567700640078779;0.9448884662151112;944;138;0.8724584103512015;0.9758165818017513;170;169;0.5014749262536873;0.9743324589722895;86007;208439;0.29209770212534725;0.9017656511468234;42760;121429;0.26043157580593096;0.9353951854197078;38191;46135;0.4528970898655219;0.9660018991442092;5056;40875;0.11007816071933987;0.9682187212629488;103817;1356;0.9871069571087636;0.9977938475667928;136802;89824;0.6036465365845048;0.9450575471116408;0:45:00.204233
sim_mode:SimMode.SYNONYM;0;6854;5424;0.5582342401042515;0.8144752978480673;2911;2144;0.5758654797230465;0.8329633657128183;2806;752;0.7886453063518831;0.9226655804134584;1137;2528;0.3102319236016371;0.7985592969340605;203996;1635286;0.11091067057688815;0.68609013746421;76936;558806;0.12101764552286934;0.8028076027189032;92080;351049;0.2077950213143351;0.8569376252719932;34980;725431;0.04600143869565274;0.7669267503482715;276991;12253;0.9576378420987125;0.9924783417679995;381956;411921;0.48112742906016925;0.8165607330862162;5:10:57.985525
sim_mode:SimMode.SYNONYM_kb_heuristics:True;0;4491;2157;0.6755415162454874;0.8834850177505496;1813;893;0.6699926090169993;0.9125474470937401;2195;452;0.8292406497922176;0.9432352677204422;483;812;0.372972972972973;0.9063088512241054;140473;641595;0.17961737342532874;0.8126287467478716;49303;221739;0.18190169789183963;0.8960455912790898;75419;199995;0.2738386574393459;0.90364698433622;15751;219861;0.06685143371305366;0.8892605519379804;180722;9479;0.9501632483530581;0.9951456272497186;239999;211962;0.531017056781448;0.8916549294694632;3:53:37.314980
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7;0;5154;3524;0.593915648766997;0.8571057695454739;2681;1658;0.617884305139433;0.864077962551742;1786;346;0.8377110694183865;0.9568659139236473;687;1520;0.31128228364295424;0.8629216661361043;154764;997814;0.13427637869194103;0.7674434763271152;70583;424287;0.14262937741224968;0.8404794431118129;64065;146368;0.30444369466766147;0.9243951926662493;20116;427159;0.044974568218657425;0.84375631237743;210667;10222;0.9537233633182277;0.9944245913529963;289265;295343;0.4948016448628825;0.8641370698715285;1:18:30.859468
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_kb_heuristics:True;0;3108;1032;0.7507246376811594;0.9213623403807742;1584;537;0.7468175388967468;0.9417759370697429;1294;176;0.8802721088435375;0.9707174851523056;230;319;0.41894353369763204;0.9575506120527305;99974;284039;0.2603401447346835;0.8848317823201645;43538;127049;0.2552246067988768;0.9303839494334258;49547;73515;0.40261819245583524;0.9565695023151246;6889;83475;0.07623611172590855;0.9485836265648477;123722;7794;0.9407372486997779;0.9969688519851783;161766;118996;0.5761677150041672;0.9345309350329855;1:03:07.430927
