config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUAL;0;4355;2727;0.6149392826885061;0.8792695796450819;2571;1551;0.62372634643377;0.8723335883823626;1290;223;0.85261070720423;0.9696099946095845;494;953;0.34139599170698;0.9096833728366212;131427;753772;0.14847169958393536;0.812051626833806;68246;400353;0.14563838164400691;0.8515698346925323;48070;81296;0.3715814046967518;0.9487534073977927;15111;272123;0.05260867446054437;0.8971600499250196;169990;3173;0.981676224135641;0.9958249965665943;234678;228220;0.5069756188188327;0.8898256232914149;0:41:58.721003
sim_mode:SimMode.EQUAL_split_loops:True;0;4310;2686;0.6160663236134934;0.8799654822706838;2574;1529;0.6273458445040214;0.8732931750272064;1263;211;0.8568521031207599;0.9699123316345662;473;946;0.3333333333333333;0.9078106268241332;100278;666782;0.1307303209657654;0.8093610973595805;54996;334174;0.14131613433717913;0.8521293585724949;30630;63877;0.3241029764990953;0.950105939066779;14652;268731;0.05170387779083431;0.8956752003875668;155600;3075;0.9806207657160864;0.9956030148258088;216413;225563;0.4896487592086448;0.8876511386801068;0:40:52.759940
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_match_one:True_kb_heuristics:True;0;2972;954;0.7570045848191543;0.924241835662408;1718;665;0.7209399916072178;0.9317004346223978;1125;152;0.8809710258418167;0.976606024037168;129;137;0.4849624060150376;0.9785310734463276;95947;248732;0.2783662480162702;0.8947319894861874;46510;165185;0.21970287441838493;0.918399334301509;45537;49855;0.4773670748071117;0.9648686273728205;3900;33692;0.1037454777612258;0.9736912399489241;110961;1514;0.9865392309402089;0.997621410229971;146103;100057;0.5935285992850179;0.9403645861735656;0:42:58.910204
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5;0;6582;5060;0.5653667754681326;0.8145383697884748;3082;2531;0.549082487083556;0.8019041402372901;2662;798;0.769364161849711;0.9152499526162965;838;1731;0.32619696379914365;0.839684458669431;195789;1553752;0.11190878064589513;0.7015687009836106;79261;677657;0.10471543813200374;0.768522242268165;91285;382998;0.19246947497591102;0.8480845536068679;25243;493097;0.04869969518076938;0.8151378619153047;259372;11333;0.9581352394673168;0.992822538263031;364233;391641;0.48186999420538346;0.825406059869992;0:45:28.133750
