config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.SYNONYM_filter_heuristics_cscore:True;0;4088;3344;0.55005382131324;0.8506988684074762;718;435;0.6227233304423244;0.94773618957941;2419;624;0.7949392047321722;0.9304285091596904;951;2285;0.2938813349814586;0.8153917116791514;125606;1055745;0.10632403070721572;0.7484419752114332;20226;102757;0.16446175487669026;0.9408149145673107;75804;305089;0.19901652170032003;0.8738199739308108;29576;647899;0.04365622347688106;0.7898277823975018;219655;11305;0.9510521302390025;0.9933371662169276;297241;317049;0.4838773217861271;0.8558129762002636;7:05:49.285004
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.7_filter_heuristics_cscore:True;0;1506;1090;0.5801232665639445;0.9244709852909699;321;47;0.8722826086956522;0.9923493408662901;879;140;0.8626104023552502;0.9722722075476313;306;903;0.2531017369727047;0.9099026912787739;47634;326450;0.12733503705050203;0.8851375694692678;10951;8428;0.5650962381959853;0.9915891950423131;27551;64811;0.29829367055715555;0.9627458945085753;9132;253211;0.034809390759425636;0.9002968121945185;102155;8275;0.9250656524495156;0.9967575614694529;130402;127507;0.5056124446994871;0.9362789265698042;1:15:34.223366
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_filter_heuristics_cscore:True;0;5645;4873;0.536698992203841;0.8221898216294041;1097;899;0.5495991983967936;0.898310376410451;3387;1047;0.7638700947225981;0.9008486212118244;1161;2927;0.2840019569471624;0.7849881704401479;168551;1601277;0.09523580822543208;0.6947436178564491;29173;247515;0.10543644827386804;0.8860957770093022;104284;504613;0.17126706158841315;0.8162660805811508;35094;849149;0.039688185261291295;0.7522063802085498;271994;12370;0.9564994162411558;0.992559524011481;380955;412420;0.48017015913029776;0.8241493910102077;5:21:18.719204
