config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.SYNONYM_anomaly_classification:True;0;6883;5423;0.5593206565902812;0.8171503220934604;2915;2125;0.5783730158730159;0.8341491740348852;2823;753;0.7894295302013423;0.9229604247527203;1145;2545;0.31029810298102983;0.798546018455561;205288;1633849;0.11162191832364854;0.6890858637385882;77094;553451;0.12226565907270695;0.8044378486618006;92974;351214;0.2093122731816258;0.8570612888902741;35220;729184;0.046075112113489726;0.7666272471708199;275911;12231;0.9575521791338992;0.9925355850720344;380368;410494;0.48095369356474327;0.8180044173712098;7:10:25.540758
sim_mode:SimMode.SYNONYM_split_loops:True_anomaly_classification:True;0;6798;5386;0.5579448456992777;0.815130803747404;2884;2123;0.5759936089474735;0.8322364609878657;2787;745;0.7890713476783692;0.9232025826698204;1127;2518;0.3091906721536351;0.7995346587506044;157761;1495437;0.09542777090221498;0.6814324323503373;61465;470543;0.11553397693267771;0.8012274487140234;61539;300057;0.17018717021205987;0.8541847854789428;34757;724837;0.045757338788879325;0.7677235084428428;259504;9781;0.9636778877397553;0.9923477621936675;359862;405987;0.46988636141066975;0.8141916882241798;7:56:00.321404
sim_mode:SimMode.SYNONYM_kb_heuristics:True_anomaly_classification:True;0;4475;2112;0.6793684530135115;0.885489490302868;1790;889;0.6681597611048898;0.9143394915951569;2193;446;0.8309965896172793;0.9431572863673721;492;777;0.3877068557919622;0.9090243447897052;139959;626614;0.18257752360179658;0.8169466958414173;48963;214113;0.18611731970989373;0.89832214255762;74978;199565;0.2731011171291929;0.9040810774363816;16018;212936;0.06996165168549141;0.8919533918473923;178714;9411;0.9499747508305648;0.9952270645474188;236860;206125;0.5346907908845672;0.8944001099618939;4:59:46.194389
sim_mode:SimMode.SYNONYM_match_one:True_anomaly_classification:True;0;6253;4679;0.5719904866447127;0.8286232226643694;2889;1985;0.5927369716864997;0.8430478733038711;2328;528;0.8151260504201681;0.9399649918002257;1036;2166;0.3235477826358526;0.8243645049136744;186762;1377682;0.11937915323271399;0.7120631082987906;75830;522632;0.12670812850272867;0.8145998734389812;79264;226474;0.25925465594724895;0.8922015888111995;31668;628576;0.04796408600456801;0.7984339651173579;251924;5805;0.9774763414283996;0.9931692199733169;347577;366311;0.4868788941682729;0.8321113731783528;2:38:27.916306
sim_mode:SimMode.SYNONYM_match_one:True_kb_heuristics:True_anomaly_classification:True;0;3844;1634;0.701715954728003;0.8937775043437987;1727;769;0.6919070512820513;0.9224726485849369;1730;309;0.8484551250613046;0.9533738584154252;387;556;0.41039236479321317;0.9311146421845575;122278;475958;0.20439759559772397;0.8354621444784824;46958;192381;0.19619869724532985;0.9070492677215447;62589;131523;0.32243756181998023;0.9271073840866741;12731;152054;0.07725824559274205;0.9196012493093202;155513;2974;0.9812350539791908;0.9959290183777462;207807;172284;0.5467295989644585;0.9054728737823605;1:50:20.278689
