config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5limit_bos:True;0;8052;6848;0.5404026845637584;0.7959100592207136;3073;2484;0.5529962209825445;0.8046744820524911;3595;1178;0.7531950555206369;0.8960299569785118;1384;3186;0.3028446389496718;0.7711042240350149;238869;2146417;0.10014270825385299;0.6535494256510684;79209;666734;0.1061863976201935;0.7721781466043957;117982;558680;0.17435883794272472;0.8007676202402433;41678;921003;0.04329367672157236;0.7343544614274827;308493;13110;0.9592354548931447;0.9918188636678531;438578;477264;0.47887954472496347;0.7982343991251077;2:55:56.597051
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_kb_heuristics:Truelimit_bos:True;0;5590;3189;0.6367467820936326;0.8633679967072101;2004;1346;0.5982089552238806;0.8751323524443222;2899;778;0.7884144683165624;0.9231418885755878;687;1065;0.3921232876712329;0.8844941006705714;173165;1005935;0.1468620134000509;0.7772005131897675;53032;350599;0.13138733149832396;0.8551524408595211;98292;362540;0.2132924796889105;0.8591701369473077;21841;292796;0.06941650219141424;0.8631516567296127;211170;10239;0.9537552674010542;0.9945958705520436;287196;270293;0.5151599403755052;0.871830650561586;2:16:53.852645
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.5_match_one:True_kb_heuristics:Truelimit_bos:True;0;4586;2340;0.6621426508807392;0.8725815390605378;1891;1105;0.6311748998664887;0.8933277586349618;2191;492;0.8166231830040999;0.9410393885062371;504;743;0.4041700080192462;0.908704171495485;143091;709275;0.16787506775258515;0.8006002734765513;50463;283067;0.1512997331574371;0.8738541502054414;76582;227366;0.2519575716898943;0.8968254753744288;16046;198842;0.07467145675886974;0.893633562489785;184587;9468;0.9512097085877715;0.994861741622835;246790;219848;0.5288682019038312;0.8859282232455603;1:17:41.110146
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.6limit_bos:True;0;6373;5101;0.5554296670733833;0.8198849228999628;2848;2017;0.5854059609455293;0.8366814544204066;2554;709;0.782715292675452;0.9255018739173236;971;2375;0.2901972504482965;0.8058902631362334;188636;1555446;0.10815775863749526;0.6993490504971079;74371;533936;0.12225899093714193;0.8079301077485669;86176;320168;0.2120764672297364;0.8660065071140923;28089;701342;0.038508097407431274;0.7793890088027264;269183;12123;0.9569045807768053;0.9927893315080144;381691;408879;0.48280481171812745;0.8247300773587005;1:48:40.864718
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.6_kb_heuristics:Truelimit_bos:True;0;4242;2078;0.6712025316455696;0.8846462540835801;1829;943;0.6598124098124099;0.9071907273767479;1994;445;0.8175481754817548;0.9450160310148946;419;690;0.37781785392245265;0.9147521205254253;131636;621219;0.1748490745229825;0.8183724884438363;49122;238987;0.17049797125393515;0.8903219210202821;70270;193284;0.2666246765368767;0.9079046036483291;12244;188948;0.060857290548331944;0.9005607763397506;174600;9449;0.9486604110861782;0.9954210960933214;231164;205216;0.5297309684220175;0.8957454017984757;1:24:51.720080
