config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.EQUALlimit_bos:True;0;4440;2779;0.6150436348524726;0.8766652283920635;2604;1521;0.6312727272727273;0.8740695523048914;1317;214;0.8602220770738079;0.9702848572684377;519;1044;0.33205374280230326;0.9026059298680238;132753;766105;0.14769073646782918;0.8073534035996236;68644;392275;0.14892855360703292;0.8533488700248639;48340;77485;0.3841843830717266;0.9500452615720343;15769;296345;0.05052320626437776;0.8891439297257325;174031;3265;0.9815844689107481;0.9956935826017033;239637;232819;0.5072154867331561;0.8877104100538296;1:02:09.272278
sim_mode:SimMode.EQUAL_kb_heuristics:Truelimit_bos:True;0;2665;875;0.7528248587570622;0.9283706908360105;1601;577;0.7350780532598714;0.941161683542354;917;142;0.8659112370160529;0.976416594822315;147;156;0.48514851485148514;0.9760097188592953;86017;219708;0.281354158148663;0.9006686578954818;44305;136137;0.24553596169406236;0.9304412848965344;37371;47026;0.44280009952960414;0.9662899926309839;4341;36545;0.10617326224135401;0.970877110217944;104659;1428;0.986539349778955;0.9976413244695812;137267;90818;0.6018238814477059;0.9442768877929928;0:55:00.625789
sim_mode:SimMode.EQUAL_split_loops:Truelimit_bos:True;0;4409;2786;0.6127866574009729;0.8753255933145067;2560;1518;0.6277587052476704;0.8728094900802026;1315;226;0.8533419857235561;0.9681612138705499;534;1042;0.33883248730964466;0.902493312409891;101961;693184;0.1282294424287394;0.8035153796926071;54588;332123;0.14115967738181742;0.8519783060404488;31289;66268;0.3207253195567719;0.947886326637514;16084;294793;0.051737503900256374;0.8887488717924343;158668;3145;0.980563984352308;0.9954635508567805;221075;230058;0.49004395599523864;0.8848868514818828;1:00:02.620616
sim_mode:SimMode.EQUAL_split_loops:True_kb_heuristics:Truelimit_bos:True;0;2625;864;0.7523645743766122;0.9268340772173421;1596;600;0.726775956284153;0.9385134766755527;900;129;0.8746355685131195;0.9781270910508197;129;135;0.48863636363636365;0.9780190677966102;61593;180648;0.2542633162841963;0.8999412116598844;35563;117620;0.23216022665700503;0.9283569629917889;22260;30175;0.4245256031276819;0.9703133649639976;3770;32853;0.10294077492286269;0.973288259901047;85704;1301;0.9850468363887133;0.9974762698107094;113079;85569;0.5692430832427208;0.9434625672674156;0:54:42.871203
