config;replication;tp;fp;micro prec;macro prec;tp (xor);fp (xor);micro prec (xor);macro prec (xor);tp (order);fp (order);micro prec (order);macro prec (order);tp (co-occ);fp (co-occ);micro prec (co-occ);macro prec (co-occ);tp (abs);fp (abs);micro prec (abs);macro prec (abs);tp (abs xor);fp (abs xor);micro prec (abs xor);macro prec (abs xor);tp (abs order);fp (abs order);micro prec (abs order);macro prec (abs order);tp (abs co-occ);fp (abs co-occ);micro prec (abs co-occ);macro prec (abs co-occ);tp (variant);fp (variant);micro prec (variant);macro prec (variant);tp (traces);fp (traces);micro prec (traces);macro prec (traces);runtime (h:mm:ss.ms)
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.8limit_bos:True;0;4640;3025;0.6053489889106327;0.8674901393340688;2601;1549;0.6267469879518073;0.8730778780434828;1453;279;0.8389145496535797;0.9620675929335886;586;1197;0.3286595625350533;0.8840851736778541;139917;849101;0.14147063046375294;0.7893675134646452;68910;400251;0.1468792163031454;0.8520750857156719;53170;111245;0.32338898518991577;0.935851626797561;17837;337605;0.05018258956454218;0.8682627903680427;188139;4019;0.9790849197014957;0.9949191034912279;259119;255779;0.5032433608209781;0.8770932660301999;0:57:55.464232
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.8_kb_heuristics:Truelimit_bos:True;0;2782;983;0.7389110225763612;0.9191037118086557;1590;609;0.723055934515689;0.9382928588250126;998;151;0.8685813751087903;0.9734829906440071;194;223;0.46522781774580335;0.966828927898843;89383;259241;0.2563879709945385;0.8880929747243771;44151;148673;0.22897046010870017;0.9272160287430544;39512;51312;0.43503919668810004;0.9624870074439732;5720;59256;0.08803250430928343;0.9603203588492759;113249;2018;0.9824928210155552;0.9970221134787434;149775;106444;0.5845585222017102;0.9367573618566637;0:53:13.231226
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.9limit_bos:True;0;4580;2894;0.6127910088306128;0.874194220015433;2602;1527;0.6301767982562364;0.8758374347596201;1401;268;0.8394248052726183;0.9642297046958069;577;1099;0.34427207637231505;0.8944424135742112;138072;808034;0.14593713600801603;0.8017785798653164;68713;391763;0.1492216749624302;0.8548254778460737;51984;105200;0.33072068403908794;0.9406032298356654;17375;311071;0.05290062902273129;0.8798848450820113;179702;3393;0.9814686365001775;0.9955389632740255;247611;239835;0.5079762681404709;0.8845351997743625;0:56:51.750884
sim_mode:SimMode.SEMANTIC_SIM_sim_thres:0.9_kb_heuristics:Truelimit_bos:True;0;2759;890;0.7560975609756098;0.9247290653428679;1608;585;0.7332421340629275;0.9397817947948804;981;142;0.8735529830810329;0.9754050543775118;170;163;0.5105105105105106;0.9740382028517623;89785;227101;0.283335331949029;0.8963480929104927;44475;138169;0.2435064935064935;0.9290241566003568;40274;49696;0.4476381015894187;0.9651511980221297;5036;39236;0.1137513552584026;0.9683633192828063;108443;1499;0.9863655381928653;0.997520499147019;142278;94637;0.6005444990819492;0.9416310393039179;0:51:34.617388
